model,suite,task_label,task_text,n_layers,n_heads,k,n_ffn_active,n_attn_layers,compute_horizon,compute_horizon_pct,skip_com_pct,fragmentation,tail_skip_pct,late_attn_frac,attn_cutoff_pct,ffn_profile,attn_profile
gpt2,reasoning,1-hop chain,Alice is the mother of Bob. Alice's child is,12,12,20,9,11,9,0.8333,0.6667,2,0.8333,0.6667,0.9167,"[1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]"
gpt2,reasoning,2-hop chain,Alice is the mother of Bob. Bob is the mother of Carol. Alice's grandchild is,12,12,19,8,11,7,0.6667,0.8636,1,0.6667,0.6667,0.9167,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]"
gpt2,reasoning,3-hop chain,Alice is the parent of Bob. Bob is the parent of Carol. Carol is the parent of Dana. [...],12,12,18,7,11,6,0.5833,0.8182,1,0.5833,0.6667,0.9167,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]"
gpt2,reasoning,Categorical syllogism,"All birds have wings. A penguin is a bird. Therefore, a penguin has",12,12,20,8,12,10,0.9167,0.6591,3,0.9167,0.8889,1.0,"[1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.75, 0.917]"
gpt2,reasoning,Negation + deduction,"No reptiles are warm-blooded. All mammals are warm-blooded. Therefore, snakes are",12,12,20,8,12,7,0.6667,0.8636,1,0.6667,0.9444,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.833]"
gpt2,reasoning,Counterfactual,"In a world where cats bark and dogs meow, if you hear barking outside you think it is a",12,12,20,8,12,8,0.75,0.7045,2,0.75,0.8333,1.0,"[1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.917, 0.75, 0.833]"
gpt2,deep_chains,1-hop chain,Alice is the mother of Bob. Alice's child is,12,12,20,9,11,9,0.8333,0.6667,2,0.8333,0.6667,0.9167,"[1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]"
gpt2,deep_chains,2-hop chain,Alice is the mother of Bob. Bob is the mother of Carol. Alice's grandchild is,12,12,19,8,11,7,0.6667,0.8636,1,0.6667,0.6667,0.9167,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]"
gpt2,deep_chains,3-hop chain,Alice is the parent of Bob. Bob is the parent of Carol. Carol is the parent of Dana. [...],12,12,18,7,11,6,0.5833,0.8182,1,0.5833,0.6667,0.9167,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]"
gpt2,deep_chains,4-hop chain,Alice is the parent of Bob. Bob is the parent of Carol. Carol is the parent of Dana. [...],12,12,18,7,11,6,0.5833,0.8182,1,0.5833,0.6667,0.9167,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]"
gpt2,deep_chains,5-hop chain,A is the parent of B. B is the parent of C. C is the parent of D. D is the parent of [...],12,12,15,7,8,6,0.5833,0.8182,1,0.5833,0.0,0.6667,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
gpt2,deep_chains,6-hop chain,A is the parent of B. B is the parent of C. C is the parent of D. D is the parent of [...],12,12,16,7,9,6,0.5833,0.8182,1,0.5833,0.0,0.75,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.917, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]"
